education,experience,industry,interest,location,lookin4,offer,skill,uid
,,"127,25,91,30,36",,Greater Los Angeles Area,"A Mentor,Business Partner,Clients,Exchange of Ideas","Exchange of Ideas,Freelancing,Investment,Mentorship,Professional Networking,Socializing",,59f70ae82706222d006f28e4
,,"43,42",,Greater New York City Area,"Clients,Exchange of Ideas,I am hiring,Service/Product Providers","Exchange of Ideas,Mentorship,Professional Networking",,59f70aea2706222d006f28e5
,,"5,24,112,96,6,8",,"Paris Area, France","A New Job,Exchange of Ideas,I am hiring,Service/Product Providers","Socializing,Services/Products",,59f70aec2706222d006f28e6
,,"43,47",,France,"A Mentor,Co-founders,Projects,Exchange of Ideas","Exchange of Ideas,Co-founders,Business Partner,Consultancy Work",,59f70aee2706222d006f28e7
,,96,,Mauritius,"A New Job,A Mentor,Exchange of Ideas,I am hiring,Professional Networking,Service/Product Providers","Business Partner,Exchange of Ideas,Freelancing,Services/Products,Socializing",,59f70af02706222d006f28e8
,,"12,17,13,15,106",,Paris,"Professional Networking,I am hiring",,,59f70af22706222d006f28e9
,,96,,Vietnam,"Co-founders,A New Job,I am hiring","Co-founders,Freelancing,Investment Opportunity,Mentorship",,59f70af32706222d006f28ea
,,"19,18,25,137,143,27",,"Paris Area, France","Clients,A New Job,Investment Opportunities","Investment Opportunity,Services/Products,Socializing",,59f70af62706222d006f28eb
,,4,,"Paris Area, France",Clients,"Professional Networking,Investment,Industry Expertise",,59f70af82706222d006f28ec
,,34,,Bulgaria area,Business Partner,Business Partner,,59f70afa2706222d006f28ed
,,"94,47,109,4,110,84,6",,"Warsaw, Masovian District, Poland","Clients,Business Partner,Co-founders,Funding,Internship,A New Job","Business Partner,Co-founders,Consultancy Work,Freelancing,Investment Opportunity",,59f70afc2706222d006f28ee
,,"6,8,99",,"Paris Area, France","Business Partner,A Mentor","Freelancing,Exchange of Ideas,Socializing,Business Partner",,59f70afd2706222d006f28ef
,,"4,96",,"Berlin Area, Germany",Clients,"Freelancing,Consultancy Work",,59f70aff2706222d006f28f0
,,"129,128,46,44",,"Paris Area, France","Business Partner,Professional Networking,Co-founders,Internship,Clients,I am hiring","Industry Expertise,Investment,Mentorship,Socializing,Exchange of Ideas",,59f70b012706222d006f28f1
,,"36,126,33",,"Paris Area, France","A New Job,Exchange of Ideas,Internship,I am hiring,Service/Product Providers","Services/Products,Mentorship,Investment Opportunity,Exchange of Ideas",,59f70b032706222d006f28f2
,,"144,15,57,56,18,129,54",,"Paris Area, France","Service/Product Providers,A New Job,A Mentor,Exchange of Ideas","Consultancy Work,Exchange of Ideas,Freelancing,Industry Expertise,Services/Products,Socializing",,59f70b052706222d006f28f3
,,"96,32,27,59",,"Birmingham, United Kingdom","A New Job,A Mentor,Exchange of Ideas,Industry Expertise,I am hiring,Service/Product Providers","Co-founders,Consultancy Work,Exchange of Ideas,Mentorship,Services/Products,Socializing",,59f70b072706222d006f28f4
,,"12,17,114,15",,France,Internship,Internship,,59f70b092706222d006f28f5
,,"6,80",,"Paris Area, France",Investment Opportunities,Investment Opportunity,,59f70b0b2706222d006f28f6
,,"5,132,96,115,105,8,119",,"Paris Area, France","A New Job,A Mentor,Exchange of Ideas,I am hiring,Professional Networking","Consultancy Work,Freelancing,Socializing,Investment Opportunity,Mentorship",,59f70b0d2706222d006f28f7
,,"137,57,76",,Russian Federation,"Business Partner,A New Job,Exchange of Ideas,Industry Expertise,I am hiring,Projects,Service/Product Providers","Exchange of Ideas,Consultancy Work,Industry Expertise,Investment Opportunity,Job Positions,Services/Products,Socializing,Mentorship",,59f70b0e2706222d006f28f8
,,"124,96",,United Arab Emirates,"A Mentor,Clients,Exchange of Ideas,Funding,Industry Expertise,Internship,I am hiring,Service/Product Providers","Exchange of Ideas,Mentorship,Professional Networking,Services/Products",,59f70b102706222d006f28f9
,,23,,"Toulouse Area, France","Clients,A New Job,Service/Product Providers","Exchange of Ideas,Business Partner",,59f70b122706222d006f28fa
,,"30,116,71",,"Brisbane, Australia","I am hiring,Investment Opportunities,Service/Product Providers,Exchange of Ideas,Clients","Exchange of Ideas,Investment,Job Positions,Mentorship,Professional Networking,Services/Products",,59f70b142706222d006f28fb
,,"47,54,43",,"Zürich Area, Switzerland","Exchange of Ideas,I am hiring","Exchange of Ideas,Job Positions,Mentorship,Industry Expertise",,59f70b152706222d006f28fc
,,"111,99,140",,France,"A New Job,Professional Networking","Exchange of Ideas,Freelancing,Mentorship,Investment Opportunity,Socializing",,59f70b172706222d006f28fd
,,19,,"Padova Area, Italy","A New Job,Business Partner,Clients,Service/Product Providers","Business Partner,Consultancy Work,Exchange of Ideas,Mentorship",,59f70b192706222d006f28fe
,,12,,"Paris Area, France","Funding,Business Partner,Investment Opportunities,I am hiring","Co-founders,Industry Expertise,Investment Opportunity,Services/Products,Socializing",,59f70b1b2706222d006f28ff
,,"54,25,57",,Singapore,"I am hiring,Industry Expertise","Consultancy Work,Industry Expertise,Mentorship",,59f70b1c2706222d006f2900
,,"47,94,120,125,127,5,4",,Germany,"A New Job,A Mentor,Business Partner,Clients","Business Partner,Co-founders,Consultancy Work",,59f70b1f2706222d006f2901
,,4,,"Gliwice, Silesian District, Poland",Professional Networking,"Industry Expertise,Freelancing",,59f70b212706222d006f2902
,,"4,99,6",,"Silesian District, Tarnowskie Gory County, Poland","Exchange of Ideas,Investment Opportunities,Clients","Consultancy Work,Exchange of Ideas,Industry Expertise,Investment Opportunity",,59f70b232706222d006f2903
,,"50,12,49,44,144,15,48,99",,Greater Los Angeles Area,"Internship,I am hiring,Service/Product Providers,Industry Expertise,Exchange of Ideas,A Mentor","Consultancy Work,Exchange of Ideas,Freelancing,Industry Expertise,Internship,Investment,Mentorship,Investment Opportunity,Services/Products",,59f70b252706222d006f2904
,,"47,127,90,54,129",,"Cologne Area, Germany","A New Job,A Mentor,Business Partner,Co-founders,Professional Networking","Professional Networking,Services/Products,Job Positions,Investment Opportunity,Investment",,59f70b272706222d006f2905
,,"4,5,3,127,125",,"Cologne Area, Germany","A Mentor,A New Job,Clients,Co-founders,Exchange of Ideas,Industry Expertise","Co-founders,Freelancing,Internship,Investment Opportunity,Job Positions",,59f70b292706222d006f2906
,,"127,50,111,53,52",,China,"Business Partner,Clients,Exchange of Ideas,Industry Expertise,Internship","Exchange of Ideas,Industry Expertise,Internship,Investment Opportunity",,59f70b2b2706222d006f2907
,,"5,4,3,109,118",,Ukraine,"Clients,Co-founders,Exchange of Ideas,Funding,Internship","Co-founders,Exchange of Ideas,Freelancing,Internship,Investment",,59f70b2d2706222d006f2908
,,124,,"Portsmouth, United Kingdom","I am hiring,Investment Opportunities,Exchange of Ideas,Business Partner,Clients","Job Positions,Industry Expertise,Exchange of Ideas,Business Partner",,59f70b302706222d006f2909
,,"128,74,141,46,44",,"Nantes Area, France","A Mentor,Business Partner,Co-founders,Internship","Internship,Investment,Job Positions,Business Partner,Co-founders",,59f70b332706222d006f290a
,,"129,43,45,46,56,44,106",,"Saint Petersburg, Russian Federation","Service/Product Providers,Internship,Industry Expertise,Funding,Exchange of Ideas,Co-founders,Business Partner,Clients,A New Job,A Mentor,I am hiring,Professional Networking","Business Partner,Consultancy Work,Co-founders,Exchange of Ideas,Industry Expertise,Freelancing,Internship,Investment,Investment Opportunity,Mentorship,Job Positions,Professional Networking,Services/Products,Socializing",,59f70b362706222d006f290b
,,"139,103,70",,"São Paulo Area, Brazil","I am hiring,Business Partner","Business Partner,Exchange of Ideas",,59f70b372706222d006f290c
,,"129,38,43,100",,Greater New York City Area,"Service/Product Providers,I am hiring,Internship,Funding",,,59f70b392706222d006f290d
,,"50,70",,"Amsterdam Area, Netherlands","A New Job,A Mentor,Professional Networking","Consultancy Work,Exchange of Ideas,Freelancing,Industry Expertise,Mentorship,Socializing,Services/Products,Professional Networking",,59f70b3b2706222d006f290e
,,,,"Paris Area, France",,,,59f70b3e2706222d006f290f
,,99,,Russian Federation,Service/Product Providers,Services/Products,,59f70b402706222d006f2910
,,108,,"Johannesburg Area, South Africa","Service/Product Providers,Exchange of Ideas,A New Job,Clients","Socializing,Services/Products,Professional Networking,Exchange of Ideas",,59f70b422706222d006f2911
,,,,France,"Clients,Business Partner,Exchange of Ideas,Investment Opportunities",,,59f70b442706222d006f2912
,,"50,48,44,33,127",,"Saint-Nazaire Area, France","A New Job,Clients,Exchange of Ideas,Internship,Investment Opportunities,Service/Product Providers,Professional Networking","Professional Networking,Services/Products,Exchange of Ideas,Investment",,59f70b462706222d006f2913
,,"103,108,130,121",,United Kingdom,"A New Job,I am hiring",Freelancing,,59f70b472706222d006f2914
,,"118,5,96,84,6,8",,"London, United Kingdom","A New Job,Exchange of Ideas","Exchange of Ideas,Industry Expertise,Socializing",,59f70b492706222d006f2915
,,"103,136,57,35,124",,"Peterborough, United Kingdom","Co-founders,Business Partner,Exchange of Ideas,Funding,I am hiring,Service/Product Providers","Co-founders,Consultancy Work,Exchange of Ideas,Freelancing,Industry Expertise,Job Positions,Mentorship,Services/Products,Socializing",,59f70b4b2706222d006f2916
,,"36,110,80,27",,"London, United Kingdom","A New Job,A Mentor,Co-founders,Clients,Industry Expertise,I am hiring,Service/Product Providers","Consultancy Work,Co-founders,Freelancing,Mentorship,Services/Products,Socializing",,59f70b4d2706222d006f2917
,,"25,91,28,80,97",,"London, United Kingdom","A New Job,Funding","Consultancy Work,Exchange of Ideas,Freelancing,Industry Expertise,Mentorship,Socializing,Business Partner",,59f70b4f2706222d006f2918
,,"50,51,99,46,70",,"La Rochelle Area, France","Exchange of Ideas,I am hiring,Professional Networking","Exchange of Ideas,Mentorship,Socializing",,59f70b512706222d006f2919
,,"50,111,99,26,31,27",,"London, United Kingdom","Service/Product Providers,Professional Networking,Exchange of Ideas,A New Job,Co-founders,I am hiring","Socializing,Services/Products",,59f70b522706222d006f291a
,,"41,103,102,105,47",,"Harrow, United Kingdom","Industry Expertise,I am hiring,Professional Networking","Consultancy Work,Freelancing,Industry Expertise,Job Positions,Mentorship,Professional Networking,Services/Products,Socializing,Exchange of Ideas,Co-founders,Business Partner",,59f70b542706222d006f291b
,,143,,"Saint-Nazaire Area, France",A New Job,"Investment Opportunity,Mentorship",,59f70b562706222d006f291c
,,"69,132,9,105",,"Moscow, Russian Federation","Business Partner,I am hiring,Projects,Professional Networking","Business Partner,Consultancy Work,Professional Networking,Mentorship",,59f70b582706222d006f291d
,,"99,134,27",,"London, United Kingdom","A Mentor,I am hiring,Professional Networking","Professional Networking,Services/Products,Socializing",,59f70b5a2706222d006f291e
,,"19,127,125,120,94,47",,Malta,Co-founders,"Business Partner,Co-founders,Investment Opportunity,Socializing",,59f70b5c2706222d006f291f
,,"47,36,76,38,80",,"London, United Kingdom",A New Job,"Exchange of Ideas,Freelancing,Industry Expertise,Socializing,Mentorship",,59f70b5e2706222d006f2920
,,"134,14,124,148,145",,"Bradford, United Kingdom","Co-founders,Funding,Exchange of Ideas,Industry Expertise","Co-founders,Freelancing,Investment",,59f70b602706222d006f2921
,,96,,"London, United Kingdom",Funding,Exchange of Ideas,,59f70b622706222d006f2922
,,41,,"London, United Kingdom",A New Job,"Industry Expertise,Job Positions,Mentorship",,59f70b642706222d006f2923
,,"41,91,42,45,27",,"London, United Kingdom","Business Partner,A New Job","Business Partner,Exchange of Ideas,Consultancy Work",,59f70b652706222d006f2924
,,"91,116,96,25,138",,"Amsterdam Area, Netherlands","Service/Product Providers,I am hiring,Professional Networking","Socializing,Services/Products,Mentorship,Professional Networking",,59f70b672706222d006f2925
,,14,,"Enfield, United Kingdom",Service/Product Providers,Services/Products,,59f70b6b2706222d006f2927
,,"91,124,33,103",,"London, United Kingdom","A New Job,Business Partner,Clients,Exchange of Ideas,Funding,Internship,Investment Opportunities,I am hiring","Business Partner,Co-founders,Consultancy Work,Exchange of Ideas,Freelancing,Industry Expertise,Investment Opportunity,Job Positions,Mentorship,Professional Networking,Socializing,Services/Products",,59f70b6d2706222d006f2928
,,,,"London, United Kingdom",,,,59f70b702706222d006f2929
,,,,Bulgaria area,A New Job,Investment Opportunity,,59f70b722706222d006f292a
,,"43,58,41",,"London, United Kingdom",A New Job,"Socializing,Consultancy Work",,59f70b742706222d006f292b
,,"43,80",,"London, United Kingdom","A New Job,Exchange of Ideas,Industry Expertise","Freelancing,Exchange of Ideas,Consultancy Work",,59f70b762706222d006f292c
,,80,,"Twickenham, United Kingdom","Clients,Funding,Industry Expertise,Investment Opportunities,I am hiring","Industry Expertise,Investment Opportunity,Professional Networking,Exchange of Ideas",,59f70b782706222d006f292d
,,26,,"London, United Kingdom","Professional Networking,Internship,I am hiring","Mentorship,Professional Networking",,59f70b792706222d006f292e
,,"19,36,80,115,6",,"London, United Kingdom","A New Job,Clients,I am hiring,Professional Networking,Service/Product Providers","Business Partner,Consultancy Work,Freelancing,Mentorship,Services/Products,Socializing",,59f70b7b2706222d006f292f
,,"34,45,6,144,44",,Greater Los Angeles Area,"Business Partner,Co-founders,Internship,Projects,Service/Product Providers","Business Partner,Co-founders,Internship,Exchange of Ideas,Job Positions,Services/Products",,59f70b7d2706222d006f2930
,,"94,110,31,30",,"London, United Kingdom","Clients,Exchange of Ideas,Industry Expertise,I am hiring","Exchange of Ideas,Consultancy Work,Industry Expertise,Mentorship,Professional Networking",,59f70b7f2706222d006f2931
,,"50,48",,United Kingdom,,"Consultancy Work,Exchange of Ideas,Freelancing,Mentorship,Professional Networking,Services/Products,Socializing",,59f70b832706222d006f2932
,,"124,14",,"London, United Kingdom","I am hiring,A Mentor,Clients","Industry Expertise,Mentorship,Socializing",,59f70b852706222d006f2933
,,,,"London, United Kingdom",,,,59f70b872706222d006f2934
,,48,,"Orange County, California Area","A New Job,Clients,A Mentor,Business Partner,Professional Networking","Business Partner,Industry Expertise,Professional Networking",,59f70b892706222d006f2935
,,"31,32,34,110",,"London, United Kingdom","Clients,Investment Opportunities,Internship","Investment Opportunity,Consultancy Work,Professional Networking",,59f70b8b2706222d006f2936
,,111,,"London, United Kingdom",A New Job,Internship,,59f70b8c2706222d006f2937
,,"29,140,96,80",,"London, United Kingdom","Clients,Funding,Professional Networking","Co-founders,Consultancy Work,Freelancing,Investment,Professional Networking,Business Partner",,59f70b8e2706222d006f2938
,,"80,113,123",,"Amsterdam Area, Netherlands","A Mentor,I am hiring,Exchange of Ideas","Consultancy Work,Exchange of Ideas,Industry Expertise,Mentorship",,59f70b902706222d006f2939
,,"140,6,80,113,136,82",,"Amsterdam Area, Netherlands","Business Partner,Exchange of Ideas,I am hiring","Business Partner,Exchange of Ideas,Mentorship",,59f70b922706222d006f293a
,,"99,80",,"London, United Kingdom","Projects,Professional Networking,I am hiring,Investment Opportunities,Industry Expertise","Job Positions,Investment Opportunity,Exchange of Ideas,Industry Expertise",,59f70b942706222d006f293b
,,47,,"Amsterdam Area, Netherlands",A New Job,"Socializing,Internship",,59f70b962706222d006f293c
,,"50,99,26,31,95",,"London, United Kingdom","A New Job,Business Partner,Clients,Exchange of Ideas,Internship","Consultancy Work,Exchange of Ideas,Freelancing,Investment Opportunity,Services/Products",,59f70b982706222d006f293d
,,"106,130,135,97",,"Amsterdam Area, Netherlands","Investment Opportunities,I am hiring,Professional Networking,Industry Expertise,Internship,Funding,Clients,Exchange of Ideas,A Mentor","Investment,Industry Expertise,Exchange of Ideas,Consultancy Work,Business Partner,Investment Opportunity,Internship",,59f70b9a2706222d006f293e
,,"111,118,99,140,6,136",,"Amsterdam Area, Netherlands","I am hiring,Service/Product Providers,Professional Networking,Clients","Exchange of Ideas,Freelancing,Industry Expertise,Mentorship,Professional Networking,Socializing",,59f70b9c2706222d006f293f
,,"36,4,24,76",,Greater San Diego Area,"Funding,Investment Opportunities,I am hiring","Business Partner,Co-founders,Consultancy Work,Exchange of Ideas,Freelancing,Industry Expertise,Internship,Investment,Investment Opportunity,Job Positions,Mentorship,Professional Networking",,59f70b9e2706222d006f2940
,,"19,24,25,99,96,6",,"Cracow, Lesser Poland District, Poland","Business Partner,Clients,Exchange of Ideas,Funding,Service/Product Providers","Business Partner,Consultancy Work,Exchange of Ideas,Industry Expertise,Job Positions",,59f70b9f2706222d006f2941
,,"4,6,96,30,91",,"Paris Area, France","A New Job,A Mentor,Investment Opportunities","Industry Expertise,Investment Opportunity,Job Positions",,59f70ba12706222d006f2942
,,"80,97,8",,"Ilford, United Kingdom","A New Job,A Mentor,Clients,Co-founders,Exchange of Ideas,Funding,Investment Opportunities,Internship,Industry Expertise,Professional Networking,I am hiring,Projects,Service/Product Providers","Consultancy Work,Exchange of Ideas,Freelancing,Industry Expertise,Investment Opportunity,Job Positions,Mentorship,Professional Networking,Services/Products,Socializing",,59f70ba32706222d006f2943
,,35,,"London, United Kingdom",A New Job,"Freelancing,Socializing,Professional Networking,Industry Expertise",,59f70ba52706222d006f2944
,,"44,46,45",,"Almere Stad Area, Netherlands","Internship,Professional Networking","Consultancy Work,Business Partner",,59f70ba72706222d006f2945
,,"4,6,30,81,113,82",,"Paris Area, France","A New Job,A Mentor,Co-founders,Exchange of Ideas,Industry Expertise,I am hiring,Service/Product Providers,Professional Networking","Co-founders,Exchange of Ideas,Freelancing,Services/Products,Socializing",,59f70ba92706222d006f2946
,,"43,96",,San Francisco Bay Area,"A Mentor,Business Partner,Exchange of Ideas,Service/Product Providers,I am hiring","Exchange of Ideas,Mentorship,Services/Products,Business Partner",,59f70bac2706222d006f2947
,,"14,15",,Greater Los Angeles Area,"Professional Networking,I am hiring","Mentorship,Services/Products",,59f70bae2706222d006f2948
,,"4,28,84,80,115,35",,"Amsterdam Area, Netherlands","Exchange of Ideas,I am hiring,Funding","Exchange of Ideas,Industry Expertise,Mentorship,Job Positions,Professional Networking",,59f70baf2706222d006f2949
,,"47,3,5,4,24",,"Utrecht Area, Netherlands","A New Job,A Mentor","Freelancing,Business Partner",,59f70bb12706222d006f294a
,,126,,"Amsterdam Area, Netherlands","Business Partner,Clients,Exchange of Ideas,I am hiring,Professional Networking","Freelancing,Exchange of Ideas,Consultancy Work,Business Partner,Industry Expertise,Mentorship,Professional Networking,Socializing",,59f70bb32706222d006f294b
,,80,,"Paris Area, France",A New Job,,,59f70bb42706222d006f294c
,,91,,"Amsterdam Area, Netherlands",Service/Product Providers,Exchange of Ideas,,59f70bb62706222d006f294d
,,"25,18,91,110,124",,"London, United Kingdom","A New Job,Co-founders,Professional Networking,Clients,A Mentor,Exchange of Ideas","Consultancy Work,Co-founders,Professional Networking,Socializing",,59f70bb82706222d006f294e
,,"6,96,45,80,113",,"Amsterdam Area, Netherlands","Business Partner,Exchange of Ideas,Industry Expertise,Internship,Investment Opportunities","Business Partner,Exchange of Ideas,Industry Expertise,Internship,Investment Opportunity",,59f70bba2706222d006f294f
,,"4,1,124",,Greater Chicago Area,Service/Product Providers,Services/Products,,59f70bbc2706222d006f2950
,,"96,6,113,8",,"Paris Area, France","A New Job,Clients,I am hiring,Professional Networking,Service/Product Providers","Consultancy Work,Exchange of Ideas,Freelancing,Job Positions,Mentorship,Services/Products,Socializing",,59f70bbd2706222d006f2951
,,43,,"Montreal, Canada Area","A New Job,A Mentor,Exchange of Ideas","Consultancy Work,Exchange of Ideas,Freelancing,Industry Expertise",,59f70bbf2706222d006f2952
,,,,"Paris Area, France",,"Co-founders,Business Partner,Exchange of Ideas,Freelancing",,59f70bc12706222d006f2953
,,"4,10",,France,"Clients,Exchange of Ideas,A Mentor,A New Job","Consultancy Work,Exchange of Ideas,Industry Expertise,Freelancing",,59f70bc22706222d006f2954
,,137,,"Paris Area, France","A Mentor,A New Job,Industry Expertise,I am hiring,Service/Product Providers","Exchange of Ideas,Socializing,Services/Products,Mentorship",,59f70bc42706222d006f2955
,,,,"Paris Area, France","Service/Product Providers,I am hiring","Services/Products,Mentorship",,59f70bc62706222d006f2956
,,"18,124,141,80,105",,"Paris Area, France","A Mentor,Business Partner,Clients,Investment Opportunities,I am hiring,Service/Product Providers","Business Partner,Consultancy Work,Exchange of Ideas,Freelancing,Industry Expertise,Job Positions,Mentorship,Professional Networking,Services/Products,Socializing",,59f70bc82706222d006f2957
,,"19,112",,"Paris Area, France",Service/Product Providers,Services/Products,,59f70bc92706222d006f2958
,,"50,48,99,140,35,114",,"Paris Area, France","A New Job,Exchange of Ideas,I am hiring,Professional Networking","Consultancy Work,Exchange of Ideas,Freelancing,Socializing",,59f70bcb2706222d006f2959
,,"4,118,3,5,96,44",,"London, United Kingdom","A New Job,Business Partner,Funding,Internship,I am hiring,Professional Networking,Service/Product Providers,Co-founders,A Mentor","Freelancing,Internship,Investment,Investment Opportunity",,59f70bcd2706222d006f295a
,,"25,134,91,110,97,80,27,22,133",,"Nantes Area, France","A New Job,Exchange of Ideas,I am hiring,Professional Networking,Service/Product Providers","Exchange of Ideas,Services/Products,Socializing",,59f70bce2706222d006f295b
,,"103,104,82,37",,Greater New York City Area,"A New Job,Clients,Exchange of Ideas,Funding,Industry Expertise,I am hiring,Professional Networking,Service/Product Providers","Consultancy Work,Exchange of Ideas,Freelancing,Industry Expertise,Mentorship,Socializing",,59f70bd02706222d006f295c
,,137,,"Paris Area, France","Co-founders,Clients,Exchange of Ideas,Industry Expertise,Investment Opportunities,Service/Product Providers","Consultancy Work,Exchange of Ideas,Industry Expertise,Investment Opportunity,Job Positions,Mentorship,Services/Products",,59f70bd42706222d006f295e
,,"96,147,132,4",,"Lesser Poland District, Cracow County, Poland","Clients,Professional Networking","Consultancy Work,Industry Expertise,Professional Networking",,59f70bd52706222d006f295f
,,"125,94,19",,"Gliwice, Silesian District, Poland","A New Job,Clients,Exchange of Ideas,Funding,Business Partner,A Mentor","Co-founders,Freelancing,Consultancy Work",,59f70bd72706222d006f2960
,,,,Greater Detroit Area,,,,59f70bd82706222d006f2961
,,"14,13,139",,Greater Philadelphia Area,"Service/Product Providers,I am hiring,Exchange of Ideas","Consultancy Work,Exchange of Ideas,Industry Expertise,Mentorship,Services/Products",,59f70bda2706222d006f2962
,,12,,San Francisco Bay Area,"A Mentor,Industry Expertise,Exchange of Ideas,I am hiring,Service/Product Providers,Professional Networking","Exchange of Ideas,Co-founders,Freelancing,Industry Expertise,Investment,Job Positions,Mentorship,Services/Products",,59f70bdc2706222d006f2963
,,,,Ukraine,,,,59f70bdd2706222d006f2964
,,"5,96,84,6,80",,"Amsterdam Area, Netherlands","A New Job,Investment Opportunities,I am hiring,Professional Networking,Service/Product Providers,Exchange of Ideas","Business Partner,Co-founders,Exchange of Ideas,Industry Expertise,Mentorship,Services/Products",,59f70bdf2706222d006f2965
,,"53,96,6,80",,"Nantes Area, France",A New Job,Socializing,,59f70be12706222d006f2966
,,"4,96",,Vietnam,"Business Partner,Clients","Business Partner,Socializing,Industry Expertise",,59f70be32706222d006f2967
,,4,,Vietnam,Funding,Freelancing,,59f70be52706222d006f2968
,,4,,Belarus,A Mentor,Job Positions,,59f70be82706222d006f2969
,,102,,Belarus,"Clients,Professional Networking,Exchange of Ideas","Industry Expertise,Professional Networking",,59f70bea2706222d006f296a
